aaadkrrv: aardvark
acehlpt: chaplet
acdeehlpt: chapleted
acehlpst: chaplets
acghinpp: chapping
achps: chaps
'achps: chap's
acehprt: chapter
acdeehprt: chaptered
aceehhoprstu: chapterhouse
aceghinprt: chaptering
acehprst: chapters
'acehprst: chapter's
aaabcchnr: charabanc
aaccehrrt: character
aacceghinrrt: charactering
aaaccehiinorrstt: characterisation
aaaccehiinorrsstt: characterisations
'aaaccehiinorrsstt: characterisation's
aacceehirrst: characterise
aaccdeehirrst: characterised
aacceehirrrst: characteriser
aacceehirrrsst: characterisers
aacceehirrsst: characterises
aacceghiinrrst: characterising
aacccehiirrstt: characteristic
aaacccehiillrrstty: characteristically
aacccehiirrsstt: characteristics
'aacccehiirrsstt: characteristic's
aacceehlrrsst: characterless
aaccehrrst: characters
'aaccehrrst: character's
aacdehr: charade
aacdehrs: charades
aacchlor: charcoal
aaccdehlor: charcoaled
aacchlors: charcoals
acceehirrtu: charcuterie
acdhr: chard
acehr: chare,reach
aceghr: charge
aabceeghlr: chargeable
acdeghr: charged
aceghrr: charger
aceghrrs: chargers
aceghrs: charges
acgghinr: charging
acehirr: charier
achilry: charily
acehinrss: chariness
achiort: chariot,haricot
aceehiorrt: charioteer
aceehiorrst: charioteers
achiorst: chariots
'achiorst: chariot's
aaachimrst: charismata
aacchiimrst: charismatic
aabcehilrt: charitable
aabceehilnrsst: charitableness
aabchilrty: charitably
acehiirst: charities
achirty: charity
'achirsty: charity's
aachiirrv: charivari
aacdehilrs: charladies
aacdhlry: charlady
aaachlnrt: charlatan
aaachilmnrst: charlatanism
aaachlnrrty: charlatanry
aaachlnrst: charlatans
acchklor: charlock
achmr: charm,march
acdehmr: charmed,marched
acehmrr: charmer,marcher
acehmrrs: charmers
acghimnr: charming,marching
acghilmnry: charmingly
achmrs: charms
acehlnr: charnel
achopry: charpoy
achiqru: charqui
acdehrr: charred
acghinrr: charring
achrs: chars,crash
achrt: chart
aabcehlrt: chartable
acdehrt: charted
acehrrt: charter
acdeehrrt: chartered
aceehhorrstu: charterhouse
aceghinrrt: chartering
acehrrst: charters
acghinrt: charting
acghinrst: chartings,starching
achirstt: chartist
achirsstt: chartists
acehlrsst: chartless
aceehrrstu: chartreuse
achmoorrt: chartroom
achmoorrst: chartrooms
achrst: charts,starch
aacehilrrstu: chartularies
aachlrrtuy: chartulary
aachmnorw: charwoman
acehmnorw: charwomen
achry: chary
achms: chasm
achmss: chasms
'achmss: chasm's
acehopsst: chassepot
acehrssu: chasseur
achisss: chassis
acehst: chaste,cheats,sachet,scathe
acehlsty: chastely
acehnst: chasten
acdeehnst: chastened
aceehnrst: chastener
aceehnssst: chasteness
aceghinnst: chastening
acehisst: chastise
acdehisst: chastised
aceehimnsstt: chastisement
aceehimnssstt: chastisements
acehirsst: chastiser
acehirssst: chastisers
acehissst: chastises
acghiinsst: chastising
achistty: chastity
abcehlsu: chasuble
acht: chat
aacehtu: chateau
aaabcdehinrtu: chateaubriand
aacehstu: chateaus
'aacehstu: chateau's
aacehtux: chateaux
aaceehilnt: chatelaine
aaceehilnst: chatelaines
aachnotty: chatoyant
achst: chats
acdehtt: chatted
acehltt: chattel,latchet
acehlstt: chattels
acehrtt: chatter,ratchet
abcehorttx: chatterbox
abceehorsttx: chatterboxes
acdeehrtt: chattered,ratcheted
aceehrrtt: chatterer
aceehrrstt: chatterers
aceghinrtt: chattering
acehrstt: chatters,ratchets
acehirtt: chattier
achiltty: chattily
acehinsstt: chattiness
acghintt: chatting
achtty: chatty
aceffhruu: chauffeur
acdeeffhruu: chauffeured
aceffghinruu: chauffeuring
aceffhrsuu: chauffeurs
aacghlmooru: chaulmoogra
acehsssu: chausses
achiimnsuv: chauvinism
'achiimnssuv: chauvinism's
achiinstuv: chauvinist
acchiiinstuv: chauvinistic
aacchiiillnstuvy: chauvinistically
achiinsstuv: chauvinists
'achiinsstuv: chauvinist's
acehoty: chayote
acehp: cheap,peach
aceehnp: cheapen
acdeeehnp: cheapened
aceeghinnp: cheapening
aceehnps: cheapens
aceehpr: cheaper
aceehpst: cheapest
aceehip: cheapie
acehhips: cheapish
acehlpy: cheaply
aceehnpss: cheapness
aaceehkpst: cheapskate
aaceehkpsst: cheapskates
aceht: cheat,teach,theca
acdeeht: cheated
aceehrt: cheater,hectare,teacher
aceehrst: cheaters,hectares,teachers
aceghint: cheating,teaching
ccehk: check
abcceehkl: checkable
ccdeehk: checked
cceehkr: checker,recheck
bcceeehkrrry: checkerberry
bcceehklmoor: checkerbloom
abccdeehkorr: checkerboard
abccdeehkorrs: checkerboards
cceeghiknr: checkering,rechecking
cceehkrs: checkers,rechecks
cceghikn: checking
ccehiklst: checklist
ccehiklsst: checklists
accehkkmr: checkmark
accehkkmrs: checkmarks
acceehkmt: checkmate
accdeehkmt: checkmated
acceehkmst: checkmates
acceghikmnt: checkmating
ccehkotu: checkout
ccehkostu: checkouts
ccehiknopt: checkpoint
ccehiknopst: checkpoints
'ccehiknopst: checkpoint's
ccehkmoor: checkroom
ccehkmoors: checkrooms
ccehkorw: checkrow
ccehks: checks
ccehkmsu: checksum
ccehkmssu: checksums
'ccehkmssu: checksum's
acddehr: cheddar
ceehk: cheek
bceeehkno: cheekbone
bceeehknos: cheekbones
ceeehikr: cheekier
ceehikly: cheekily
ceeehiknss: cheekiness
ceehks: cheeks
'ceehks: cheek's
ceehky: cheeky
ceehp: cheep
ceehps: cheeps,speech
ceehr: cheer
cdeeehr: cheered
ceeehrr: cheerer
ceeehrrs: cheerers
ceefhlru: cheerful
ceefhllruy: cheerfully
ceeefhlnrssu: cheerfulness
ceeehirr: cheerier
ceehilry: cheerily
ceeehinrss: cheeriness
ceeghinr: cheering
ceehior: cheerio
acdeeehlr: cheerlead
acdeeeehlrr: cheerleader
acdeeeehlrrs: cheerleaders
ceeehlrss: cheerless
ceeehllrssy: cheerlessly
ceeeehlnrssss: cheerlessness
ceehrs: cheers
ceehry: cheery
ceeehs: cheese
abcdeeehors: cheeseboard
bceeeeghrrsu: cheeseburger
bceeeeghrrssu: cheeseburgers
acceeeehks: cheesecake
acceeeehkss: cheesecakes
'acceeeehkss: cheesecake's
cceeehhlost: cheesecloth
cdeeehs: cheesed
ceeeeghmnors: cheesemonger
aceeeghinprs: cheeseparing
aceeeghinprss: cheeseparings
ceeehss: cheeses
'ceeehss: cheese's
cdeeehoosw: cheesewood
ceeehirs: cheesier
ceeehinsss: cheesiness
ceeghins: cheesing
ceehsy: cheesy
aceehht: cheetah
aceehhst: cheetahs
cefh: chef
cefhs: chefs
'cefhs: chef's
acehilnno: chelonian
ccehim: chemic
accehillmy: chemically
accehilms: chemicals
ceehims: chemise
ceehimss: chemises
ceeehimstt: chemisette
cehimst: chemist
ceehiimrsst: chemistries
cehimrsty: chemistry
cehimsst: chemists
'cehimsst: chemist's
accehhimoooprttu: chemoautotrophic
acehhmoooprttuy: chemoautotrophy
acehhilmoopprsxy: chemoprophylaxis
cceeehimnooprt: chemoreception
cceeeehimoprtv: chemoreceptive
cceeehmooprrt: chemoreceptor
ceeehhmoprs: chemosphere
ceehhimnosssty: chemosynthesis
aceehhmoprty: chemotherapy
'aceehhmoprsty: chemotherapy's
cehimmooprst: chemotropism
ceehilln: chenille
cdehnoop: chenopod
ceehqu: cheque
bceehkooqu: chequebook
bceehkooqsu: chequebooks
'bceehkooqsu: chequebook's
ceehqru: chequer
abcdeehoqrru: chequerboard
cdeeehqru: chequered
ceehqrsu: chequers
ceehqsu: cheques
'ceehqsu: cheque's
cehhirs: cherish
cdeehhirs: cherished
ceehhirrs: cherisher
ceehhirss: cherishes
ceghhiinrs: cherishing
cehoort: cheroot
ceehirrs: cherries
cehrry: cherry
'cehrrsy: cherry's
ceehnorrsty: cherrystone
ceeehnorss: chersonese
cehrt: chert,retch
bcehru: cherub
bccehiru: cherubic
abccehillruy: cherubically
bcehimru: cherubim
bcehrsu: cherubs
'bcehrsu: cherub's
cehilrv: chervil
cehilrsv: chervils
cehss: chess
abcdehorss: chessboard
abcdehorsss: chessboards
acehmnss: chessman
ceehmnss: chessmen
cehst: chest
ceehirst: chestier,heretics
cehnsttu: chestnut
cehnssttu: chestnuts
'cehnssttu: chestnut's
cehsst: chests
cehsty: chesty,scythe
aceehilrv: chevalier
cehiotv: cheviot
cehnorv: chevron
acehinortv: chevrotain
cehw: chew
abceehlw: chewable
cdeehw: chewed
ceehrw: chewer
ceehrsw: chewers
ceghinw: chewing
cehsw: chews
cehwy: chewy
chi: chi,hic
acchiiorrsstu: chiaroscurist
acchioorrsu: chiaroscuro
achimssu: chiasmus
acchiist: chiastic
bchikou: chibouk
cchi: chic
accehin: chicane
accehinry: chicanery
accghiinn: chicaning
cchhii: chichi
cchik: chick
accdeehik: chickadee
accdeehiks: chickadees
'accdeehiks: chickadee's
ccehikn: chicken
ccdeehikn: chickened
accdeeehhiknrt: chickenhearted
cceghiiknn: chickening
ccehiknopx: chickenpox
ccehikns: chickens
accehikp: chickpea
accehikps: chickpeas
'accehikps: chickpea's
cchiks: chicks
ccdeehikw: chickweed
ccdeehiksw: chickweeds
cchily: chicly
cchiory: chicory
cddehin: chidden
cdehi: chide
cddehi: chided
cdehis: chides
cdghiin: chiding
cefhi: chief,fiche
cdefhimo: chiefdom
cdefhimos: chiefdoms
cefhily: chiefly
cefhis: chiefs
'cefhis: chief's
acefhiint: chieftain
acceefhiiinst: chieftaincies
accefhiinty: chieftaincy
acefhiinst: chieftains
'acefhiinst: chieftain's
acefhhiiinpst: chieftainship
accffffhhi: chiffchaff
cffhino: chiffon
ceffhiinor: chiffonier
cegghir: chigger
cegghirs: chiggers
cghinno: chignon
abchiilln: chilblain
abchiillns: chilblains
cdhil: child
abcdeghiilnr: childbearing
bcddehil: childbed
bcdhhiilrt: childbirth
bcdhhiilrst: childbirths
accdehilr: childcare
cddhhiloo: childhood
cddhhiloos: childhoods
cdhhiils: childish
cdhhiillsy: childishly
cdehhiilnsss: childishness
cdehillss: childless
cdeehillnssss: childlessness
cdehiikll: childlike
cdeehiikllnss: childlikeness
cddehiilmnr: childminder
cddehiilmnrs: childminders
cddghiiilmnn: childminding
acdeghiilnrr: childrearing
cdehilnr: children
'cdehilnrs: children's
'cdhils: child's
acdhiil: chiliad
achiilms: chiliasm
chill: chill
cdehill: chilled
cehillrs: chillers
chiill: chilli
cehiillr: chillier
cehiills: chillies
chiillly: chillily
cehiillnss: chilliness
cghiilln: chilling
cghiilllny: chillingly
cehillnss: chillness
chills: chills
chillmu: chillum
chilly: chilly
cehim: chime
cdehim: chimed
cehimr: chimer
acehimr: chimera
accehiilmr: chimerical
accehiillmry: chimerically
cehims: chimes
'cehims: chime's
cghiimn: chiming
cehimny: chimney
cceeehiimnpy: chimneypiece
cehimnopty: chimneypot
cehimnsy: chimneys
'cehimnsy: chimney's
chimp: chimp
aceehimnpz: chimpanzee
aceehimnpsz: chimpanzees
chimps: chimps
chin: chin,inch
abcehinrry: chinaberry
aacehinrw: chinaware
bcehinno: chinbone
cchhin: chinch
ccceeehhhiinnr: chincherinchee
acchhiilln: chinchilla
cehin: chine,niche
chikn: chink
cdehikn: chinked
chikns: chinks
cehilnss: chinless
cdehinn: chinned
cghiinnn: chinning
chino: chino
chinos: chinos
achiinnpqu: chinquapin
chins: chins
'chins: chin's
chintz: chintz
cehiinrtz: chintzier
chintyz: chintzy
acghinw: chinwag
chip: chip
abcdhiopr: chipboard
chikmnpu: chipmunk
chikmnpsu: chipmunks
'chikmnpsu: chipmunk's
aachilopt: chipolata
cdehipp: chipped
cehippr: chipper
cghiinpp: chipping
chips: chips
'chips: chip's
chimr: chirm
aceghhioprrr: chirographer
accghhiioprr: chirographic
aaccghhiiloprr: chirographical
accehimnorr: chiromancer
acchimnory: chiromancy
cdhiiooprst: chiropodist
cdhiiooprsst: chiropodists
cdhioopry: chiropody
accchiioprrt: chiropractic
acchiooprrrt: chiropractor
acchiooprrrst: chiropractors
acehinoprrt: chiropteran
chipr: chirp
cdehipr: chirped
chiilpry: chirpily
cghiinpr: chirping
chiprs: chirps
chipry: chirpy
chiprru: chirrup
cdehiprru: chirruped
cghiinprru: chirruping
chiprrsu: chirrups
cehils: chisel
cdeehills: chiselled
ceehillrs: chiseller
ceehillrss: chisellers
ceghiillns: chiselling
cehilss: chisels
chit: chit,itch
achilt: chital
acchhitt: chitchat
chiint: chitin
chist: chits
ceghiilnrstt: chitterlings
acchiilrv: chivalric
achilorsuv: chivalrous
achillorsuvy: chivalrously
acehilnorsssuv: chivalrousness
achilrvy: chivalry
cehiv: chive
cehisv: chives
cdehiivv: chivvied
chivvy: chivvy
cghiinvvy: chivvying
acdehlmosuy: chlamydeous
achllor: chloral
acehlort: chlorate
acdehlnor: chlordane
cdehilor: chloride
cdehilors: chlorides
acehilnort: chlorinate
acdehilnort: chlorinated
acehilnorst: chlorinates
achiilnnoort: chlorination
cehilnor: chlorine
cehilort: chlorite,clothier
cfhlmooorr: chloroform
chhllloopry: chlorophyll
cchiilnooprr: chloropicrin
achllooprst: chloroplast
achllooprsst: chloroplasts
'achllooprsst: chloroplast's
ceehlnooprr: chloroprene
acehilmnooprrz: chlorpromazine
accceehillnorrtty: chlortetracycline
cchko: chock
ccdehko: chocked
ccehkor: chocker
ccghikno: chocking
cchkos: chocks
'cchkos: chock's
accehloot: chocolate
accehloost: chocolates
'accehloost: chocolate's
acchlooty: chocolaty
ccehio: choice,echoic
ccehiloy: choicely
cceehinoss: choiceness
ccehior: choicer
ccehios: choices
ccehiost: choicest
chior: choir
bchioory: choirboy
acehimorrst: choirmaster
chiors: choirs
'chiors: choir's
cehko: choke
bceehkorry: chokeberry
bceehkoor: chokebore
cceehhkorry: chokecherry
cdehko: choked
acdehkmop: chokedamp
cehkor: choker
cehkors: chokers,shocker
cehkos: chokes
cghikno: choking,hocking
cghiklnoy: chokingly
chkoy: choky
cehlor: choler
acehlor: cholera,chorale
ccehilor: choleric
ceehlloorst: cholesterol
cceghiilnor: cholinergic
aceeehilnorsst: cholinesterase
chmop: chomp
chno: chon
chkoo: chook
chmoo: choom,mooch
cehoos: choose
cehoors: chooser
cehoorss: choosers
cehooss: chooses
cehoosy: choosey
cehioors: choosier
cghinoos: choosing
choosy: choosy
chop: chop
acefhllnop: chopfallen
cehhoopsu: chophouse
ccghiloop: choplogic
cdehopp: chopped
cehoppr: chopper
cehopprs: choppers
'cehopprs: chopper's
cehioppr: choppier
chiloppy: choppily
cehinoppss: choppiness
cghinopp: chopping
choppy: choppy
chops: chops
cchikopst: chopstick
cchikopsst: chopsticks
acghorsu: choragus
achlor: choral
acehlors: chorales
achllory: chorally
cdhor: chord
acdehort: chordate
cddehor: chorded
cdghinor: chording
cdehhnooopr: chordophone
cdhors: chords
'cdhors: chord's
cehor: chore,ochre
acehor: chorea
aceghhooprr: choreograph
acdeeghhooprr: choreographed
aceeghhooprrr: choreographer
aceeghhooprrrs: choreographers
acceghhiooprr: choreographic
aacceghhillooprry: choreographically
aceghhooprry: choreography
cehors: chores
abchimor: choriamb
cchior: choric
cehinor: chorine
cehinors: chorines
cehiorrst: chorister
chioorz: chorizo
accghhiooprr: chorographic
acghhooprry: chorography
cghlooory: chorology
cehlort: chortle
cdehlort: chortled
cehlorst: chortles
cghilnort: chortling
chorsu: chorus
cdehorsu: chorused
cehorssu: choruses
cehos: chose
cehnos: chosen
cghhou: chough
choux: choux
chow: chow
cdehorw: chowder,cowherd
cdehorsw: chowders
cdhhnoouw: chowhound
cehimotw: chowtime
accehiimrstt: chrematistic
acehhmorstty: chrestomathy
chimrs: chrism,smirch
achimorrsty: chrismatory
chimors: chrisom
cehinrst: christen,snitcher
cdeehinrst: christened
ceghiinnrst: christening
cehinrsst: christens
acehmort: chromate
acchimort: chromatic
aacchillmorty: chromatically
acchiimortty: chromaticity
acchimorst: chromatics
achimnort: chromatin
aacghmmoorrt: chromatogram
aacghmmoorrst: chromatograms
'aacghmmoorrst: chromatogram's
aacghhmooprrt: chromatograph
aaccghhimooprrt: chromatographic
aaaccghhillmooprrty: chromatographically
aacghhmooprrty: chromatography
cehmor: chrome
cdehmor: chromed
cehmors: chromes
cchimor: chromic
accehimnnor: chrominance
cghimnor: chroming
chimmoru: chromium
chmoor: chromo
acghhhilmoooprrt: chromolithograph
acghhhilmoooprrty: chromolithography
achlmmooors: chromosomal
cehmmooors: chromosome
cehmmooorss: chromosomes
'cehmmooorss: chromosome's
chlmory: chromyl
cchinor: chronic
acchillnory: chronically
ccehilnor: chronicle
ccdehilnor: chronicled
ccehilnorr: chronicler
ccehilnorrs: chroniclers
ccehilnors: chronicles
acghmnoorr: chronogram
aaccghimmnoorrt: chronogrammatic
acghmnoorrs: chronograms
acghhnooprr: chronograph
accghhinooprr: chronographic
acghhnooprrs: chronographs
ccghilnooor: chronologic
accghillnooor: chronological
accghilllnooory: chronologically
ceghilnooors: chronologies
cghilnooorst: chronologist
cghilnooorsst: chronologists
cghlnooory: chronology
'cghlnooorsy: chronology's
ceehmnoorrt: chronometer
ceehmnoorrst: chronometers
'ceehmnoorrst: chronometer's
ccehimnoorrt: chronometric
accehillmnoorrty: chronometrically
cehmnoorrty: chronometry
ccehnoooprs: chronoscope
ccehnoooprss: chronoscopes
achilrssy: chrysalis
acehhmmnrstuy: chrysanthemum
acehhmmnrsstuy: chrysanthemums
'acehhmmnrsstuy: chrysanthemum's
aceeehhilnnprsty: chryselephantine
achhinnot: chthonian
bchu: chub
bbcehiru: chubbier
bbcehistu: chubbiest
bbcehinssu: chubbiness
bbchuy: chubby
bchsu: chubs
cchku: chuck
ccdehku: chucked
ccehhklou: chuckhole
ccghiknu: chucking
ccehklu: chuckle
ccdehklu: chuckled
accdeehhklu: chucklehead
accddeeehhklu: chuckleheaded
accdeehhklsu: chuckleheads
ccehklsu: chuckles
ccghiklnu: chuckling
cchksu: chucks
'cchksu: chuck's
aacchklluw: chuckwalla
acfhu: chufa
cffhu: chuff
cdeffhu: chuffed
cffghinu: chuffing
cghu: chug
acgghluu: chugalug
cggghinu: chugging
cghsu: chugs
achkku: chukka
chmu: chum,much
cehimmru: chummier
chilmmuy: chummily
cehimmnssu: chumminess
cghimmnu: chumming
chmmuy: chummy
chmpu: chump
chmpsu: chumps
'chmpsu: chump's
chmsu: chums
chknu: chunk
cehiknru: chunkier
chiklnuy: chunkily
chknsu: chunks
'chknsu: chunk's
chknuy: chunky
cehnrtu: chunter
cchhru: church
ccdehhru: churched
ccehhrsu: churches
cceghhorru: churchgoer
cceghhorrsu: churchgoers
ccgghhinoru: churchgoing
ccghhinru: churching
ccehhlrssu: churchless
ccehhilnrssu: churchliness
cchhlruy: churchly
acchhmnru: churchman
acchhhimnprsu: churchmanship
ccehhmnru: churchmen
accdehhnrruw: churchwarden
accdehhnrrsuw: churchwardens
acchhmnoruw: churchwoman
ccehhmnoruw: churchwomen
cchhruy: churchy
accdhhrruy: churchyard
accdhhrrsuy: churchyards
'accdhhrrsuy: churchyard's
chlru: churl,lurch
chhilrsu: churlish
chhillrsuy: churlishly
cehhilnrsssu: churlishness
chlrsu: churls
chnru: churn
cdehnru: churned
cehnrru: churner
cehnrrsu: churners
cghinnru: churning
chnrsu: churns
cehtu: chute
cehstu: chutes
'cehstu: chute's
cehntuy: chutney
cehnstuy: chutneys
achhptuz: chutzpah
acio: ciao
bciimoru: ciborium
aaccdi: cicada
aaccdis: cicadas
accceiilrt: cicatricle
acciirtx: cicatrix
cceeinor: cicerone
ccdhiil: cichlid
ccdhiils: cichlids
cdeir: cider,cried,dicer
cdeirs: ciders
cgi: cig
acgir: cigar
aceegirtt: cigarette
aceegirstt: cigarettes
'aceegirstt: cigarette's
acgiillor: cigarillo
acgiillors: cigarillos
acgirs: cigars
'acgirs: cigar's
aciil: cilia,iliac
aceiilt: ciliate
acdeiilt: ciliated
aceiilst: ciliates,silicate
cceiil: cilice,icicle
aceiillot: ciliolate
ciilmu: cilium
cchin: cinch
ccehins: cinches
cceinrtu: cincture
cdeinr: cinder
cdeinrs: cinders,discern,rescind
'cdeinrs: cinder's
cdeinry: cindery
cein: cine,nice
aceeinst: cineaste
aceimn: cinema,iceman
aceegimnor: cinemagoer
aceegimnors: cinemagoers
acceiimnt: cinematic
aacceiillmnty: cinematically
aceeiimnst: cinematise
aaceghimnoprt: cinematograph
aaceeghimnoprrt: cinematographer
aacceghiimnoprt: cinematographic
aaacceghiillmnoprty: cinematographically
aaceghimnoprst: cinematographs
aaceghimnoprty: cinematography
ceilno: cineol
aceiimnrru: cinerarium
ceeinorsu: cinereous
aabcinnr: cinnabar
acimnnno: cinnamon
ceinqu: cinque,quince
cceeinnoqtu: cinquecento
cefiilnoqu: cinquefoil
cehipr: cipher
cdeehipr: ciphered,decipher
ceghiinpr: ciphering
cehiprs: ciphers
'cehiprs: cipher's
ceehiprttx: ciphertext
ciilnop: cipolin
accir: circa
aaccdiinr: circadian
cceilr: circle,cleric
ccdeilr: circled
cceilrr: circler
cceilrs: circles,clerics
cceilrt: circlet
ccgiilnr: circling
cciirtu: circuit
acciilrtu: circuital
ccdeiirtu: circuited
ccgiiinrtu: circuiting
cciiorstuu: circuitous
cciilorstuuy: circuitously
cceiinorssstuu: circuitousness
cciirrtuy: circuitry
cciirstu: circuits
'cciirstu: circuit's
cciirtuy: circuity
accilrru: circular
aacciiilnorrstu: circularisation
acceiilrrsu: circularise
accdeiilrrsu: circularised
acceiilrrrsu: circulariser
acceiilrrrssu: circularisers
acceiilrrssu: circularises
accgiiilnrrsu: circularising
acceiiilrrstu: circularities
acciilrrtuy: circularity
accillrruy: circularly
accilrrsu: circulars
'accilrrsu: circular's
acceilrtu: circulate
accdeilrtu: circulated
acceilrstu: circulates
accgiilnrtu: circulating
acciilnortu: circulation
acciilnorstu: circulations
accilorrtu: circulator
accilorrstu: circulators
accilorrtuy: circulatory
abcceiimmnrtu: circumambient
bbccdeiimnrsuu: circumbendibus
ccceiimrsu: circumcise
cccdeiimrsu: circumcised
ccceiimrrsu: circumciser
ccceiimrssu: circumcises
cccgiiimnrsu: circumcising
ccciiimnorsu: circumcision
ccciiimnorssu: circumcisions
ccceeefimnrru: circumference
ccceeefimnrrsu: circumferences
acceefiilmnrrtu: circumferential
acceefiillmnrrtuy: circumferentially
ccefilmrux: circumflex
cceefilmrsux: circumflexes
ccefilmnrtuu: circumfluent
ccfilmorsuuu: circumfluous
ccefimrsuu: circumfuse
ccdefimrsuu: circumfused
ccfgiimnrsuu: circumfusing
ccfiimnorsuu: circumfusion
accceijmnrtu: circumjacent
ccciilmnoortuu: circumlocution
ccciilmnoorstuu: circumlocutions
'ccciilmnoorstuu: circumlocution's
cccilmoorrtuuy: circumlocutory
accilmnrruu: circumlunar
aaccegiimnrtuv: circumnavigate
aaccdegiimnrtuv: circumnavigated
aaccegiimnrstuv: circumnavigates
aaccggiiimnnrtuv: circumnavigating
aaccgiiimnnortuv: circumnavigation
aaccgiiimnnorstuv: circumnavigations
aaccgiimnorrtuv: circumnavigator
aaccgiimnorrstuv: circumnavigators
accilmoprru: circumpolar
bccceiimrrsu: circumscribe
bcccdeiimrrsu: circumscribed
bccceiimrrssu: circumscribes
bcccgiiimnrrsu: circumscribing
ccciiimnoprrstu: circumscription
ccciiimnoprrsstu: circumscriptions
accilmorrsu: circumsolar
ccceimprstu: circumspect
ccceiimnoprstu: circumspection
ccceiimnoprsstu: circumspections
ccceilmprstuy: circumspectly
accceimnrstu: circumstance
acccdeimnrstu: circumstanced
accceimnrsstu: circumstances
'accceimnrsstu: circumstance's
acccgiimnnrstu: circumstancing
aacciilmnrsttu: circumstantial
aacciillmnrsttuy: circumstantially
aacceiimnrstttu: circumstantiate
aaccdeiimnrstttu: circumstantiated
aacceiimnrsstttu: circumstantiates
aaccgiiimnnrstttu: circumstantiating
aaccdeillmrtuv: circumvallated
aacceillmrstuv: circumvallates
aaccgiillmnrtuv: circumvallating
aacciillmnortuv: circumvallation
cceimnrtuv: circumvent
ccdeeimnrtuv: circumvented
ccegiimnnrtuv: circumventing
cceiimnnortuv: circumvention
cceiimnnorstuv: circumventions
cceimnrstuv: circumvents
cciilmnoortuuv: circumvolution
cciilmnoorstuuv: circumvolutions
ccirsu: circus
cceirssu: circuses
'ccirssu: circus's
ceiqru: cirque
ceiqrsu: cirques
cehiorrss: cirrhoses
chiiorrss: cirrhosis
cchiiorrt: cirrhotic
ciirr: cirri
ccilmorrsuuu: cirrocumulus
aciorrrssttu: cirrostratus
cirrsu: cirrus
cist: cist
ceinrst: cistern,cretins
ceinrsst: cisterns
'ceinrsst: cistern's
cit: cit,tic
abceilt: citable
acdeilt: citadel,deltaic,dialect,edictal
acdeilst: citadels,dialects
'acdeilst: citadel's,dialect's
aciinott: citation
aciinostt: citations
'aciinostt: citation's
ceit: cite
cdeit: cited,edict
ceist: cites
aachirt: cithara
cehirt: cither,thrice
cdeiit: citied
ceiist: cities,iciest
cdefiiit: citified
cfiity: citify
cgiint: citing
ceiintz: citizen
ceiilntyz: citizenly
ceiinrtyz: citizenry
ceiinstz: citizens
'ceiinstz: citizen's
cehiiinpstz: citizenship
ceilot: citole
acdeirtt: citrated
ceiorstu: citreous,outcries
cciirt: citric,critic
cinort: citron
aceillnort: citronella
cirstu: citrus,rictus,rustic
ceirsstu: citruses,curtsies
ceinrtt: cittern
city: city
'cisty: city's
acceipsty: cityscape
acceipssty: cityscapes
cdeiitwy: citywide
acddiu: ciudad
ceitv: civet,evict
cciiv: civic
acciillvy: civically
cciisv: civics
ciilv: civil
aciiilnv: civilian
aaciiiiilnnostv: civilianisation
aceiiiilnsv: civilianise
acdeiiiilnsv: civilianised
aceiiiilnssv: civilianises
acgiiiiilnnsv: civilianising
aciiilnsv: civilians
'aciiilnsv: civilian's
abceiiillsv: civilisable
aciiiilnostv: civilisation
aciiiilnosstv: civilisations
'aciiiilnosstv: civilisation's
ceiiilsv: civilise
cdeiiilsv: civilised
ceiiilrsv: civiliser
ceiiilrssv: civilisers
ceiiilssv: civilises
cgiiiilnsv: civilising
ceiiiilstv: civilities
ciiiltvy: civility
ciillvy: civilly
ceiisvv: civvies
abbcelr: clabber
aacchln: clachan
acckl: clack
acceklrs: clackers,crackles
acckls: clacks
acdl: clad
acddgiln: cladding
acddelo: cladode
acilm: claim
aabceillm: claimable
aacilmnt: claimant
aacilmnst: claimants
'aacilmnst: claimant's
acdeilm: claimed,decimal,declaim,medical
aceilmr: claimer,miracle,reclaim
acgiilmn: claiming
acilms: claims
aaccdeeiilnru: clairaudience
aacceilnorvy: clairvoyance
aacilnortvy: clairvoyant
aacillnortvyy: clairvoyantly
aacilnorstvy: clairvoyants
aaclmnt: clamant
aabceklm: clambake
aabceklms: clambakes
abcelmr: clamber
abcdeelmr: clambered
abceelmrr: clamberer
abcegilmnr: clambering
abcelmrs: clambers,scramble
aceilmmr: clammier
acillmmy: clammily
aceilmmnss: clamminess
acgilmmn: clamming
aclmmy: clammy
aclmoorsu: clamorous
aclmoru: clamour
acdelmoru: clamoured
acelmorru: clamourer
acelmorrsu: clamourers
'acelmorrsu: clamourer's
acgilmnoru: clamouring
aclmorsu: clamours
aclmp: clamp
acdlmnopw: clampdown
acdelmp: clamped
acelmpr: clamper
acgilmnp: clamping
aclmps: clamps
'aclms: clam's
acehlllms: clamshell
acehlllmss: clamshells
aclmmorw: clamworm
aclmmorsw: clamworms
acln: clan
acdeeilnnst: clandestine
acdeeillnnsty: clandestinely
acdeeeilnnnssst: clandestineness
acgln: clang
acdegln: clanged,glanced
aceglnr: clanger
aceglnrs: clangers
acggilnn: clanging,glancing
acglnoru: clangour
acdeglnoru: clangoured
acggilnnoru: clangouring
acglnorsu: clangours
'acglnorsu: clangour's
acglns: clangs
ackln: clank
acdekln: clanked
acgiklnn: clanking
